image_idx,DSC_metric,NSD_metric,modality
843,0.986969,0.967133,CT
844,0.93899,0.867672,CT
845,0.985611,0.963225,CT
846,0.985761,0.958567,CT
847,0.960886,0.928074,CT
848,0.988096,1.0,CT
849,0.992005,0.966425,CT
850,0.968105,0.732218,CT
851,0.9756,0.859532,CT
852,0.97546,0.804565,CT
853,0.987979,0.983119,CT
854,0.836405,0.558333,CT
855,0.981135,0.981513,CT
856,0.864477,0.725979,CT
857,0.920848,0.85782,CT
858,0.988552,0.909693,CT
859,0.945242,0.891156,CT
860,0.982551,0.985533,CT
861,0.988645,0.941623,CT
862,0.893645,0.739927,CT
863,0.970775,0.938242,CT
864,0.96305,0.829493,CT
865,0.986172,0.910891,CT
866,0.98278,1.0,CT
867,0.984289,0.989381,CT
868,0.979213,0.864372,CT
869,0.956212,0.892929,CT
870,0.98562,0.838649,CT
871,0.815329,0.336066,CT
872,0.955444,0.58528,CT
873,0.987584,0.952196,CT
874,0.959974,0.948805,CT
875,0.956986,0.878882,CT
876,0.958447,0.898855,CT
877,0.912429,0.769912,CT
878,0.835313,0.210585,CT
879,0.98083,0.880628,CT
880,0.94445,0.80389,CT
881,0.973774,0.887719,CT
882,0.952465,0.811493,CT
883,0.941199,0.807867,CT
884,0.96821,0.897404,CT
885,0.985796,0.922744,CT
886,0.989494,0.960271,CT
887,0.990772,0.991493,CT
888,0.96719,0.903481,CT
889,0.961368,0.86037,CT
890,0.94583,0.772403,CT
891,0.955375,0.98503,CT
892,0.989437,0.995772,CT
893,0.993056,0.962939,CT
894,0.978967,0.789294,CT
895,0.982066,0.93836,CT
896,0.900385,0.728041,CT
897,0.908283,0.5625,CT
898,0.988092,0.964926,CT
899,0.96919,0.946341,CT
900,0.949038,0.776899,CT
901,0.974623,0.895809,CT
902,0.981832,0.929699,CT
903,0.975853,0.915254,CT
904,0.982296,0.854588,CT
905,0.983529,0.950952,CT
906,0.950958,0.917847,CT
907,0.970879,0.852584,CT
908,0.954927,0.89726,CT
909,0.992429,0.98249,CT
910,0.973949,0.902968,CT
911,0.989501,0.949519,CT
912,0.978655,0.892546,CT
913,0.989155,0.946549,CT
914,0.905834,0.826923,CT
915,0.975368,0.919932,CT
916,0.880628,0.614865,CT
917,0.931138,0.837456,CT
918,0.987493,0.933288,CT
919,0.989776,1.0,CT
920,0.877157,0.373211,CT
921,0.94507,0.537021,CT
922,0.924358,0.247368,CT
923,0.973638,0.803581,CT
924,0.987074,0.997797,CT
925,0.983512,0.827949,CT
926,0.964561,0.983425,CT
927,0.98349,0.943956,CT
